Country Name,Region,IncomeGroup,TotalGDP,GDPPercentage
Aruba,Latin America & Caribbean,High income,26876197898074.1,6.410523670550365e-05
Africa Eastern and Southern,,,,
Afghanistan,South Asia,Low income,147440132452.6,
Africa Western and Central,,,,
Angola,Sub-Saharan Africa,Lower middle income,1445084169436.16,0.004257830147984207
Albania,Europe & Central Asia,Upper middle income,3838002109994.71,0.0008369254520822625
Andorra,Europe & Central Asia,High income,26876197898074.1,4.6132876000620876e-05
Arab World,,,,
United Arab Emirates,Middle East & North Africa,High income,26876197898074.1,0.00314201709003829
Argentina,Latin America & Caribbean,Upper middle income,3838002109994.71,0.07387254927809063
Armenia,Europe & Central Asia,Upper middle income,3838002109994.71,0.00048084449151137746
American Samoa,East Asia & Pacific,Upper middle income,3838002109994.71,
Antigua and Barbuda,Latin America & Caribbean,High income,26876197898074.1,2.850849673401551e-05
Australia,East Asia & Pacific,High income,26876197898074.1,0.014488284446956799
Austria,Europe & Central Asia,High income,26876197898074.1,0.008083695499785272
Azerbaijan,Europe & Central Asia,Upper middle income,3838002109994.71,0.001193702324203859
Burundi,Sub-Saharan Africa,Low income,147440132452.6,0.005480714171630209
Belgium,Europe & Central Asia,High income,26876197898074.1,0.009608725199128908
Benin,Sub-Saharan Africa,Lower middle income,1445084169436.16,0.0025447613154843695
Burkina Faso,Sub-Saharan Africa,Low income,147440132452.6,0.022989446133939818
Bangladesh,South Asia,Lower middle income,1445084169436.16,0.03547929661703003
Bulgaria,Europe & Central Asia,Upper middle income,3838002109994.71,0.003550630007605385
Bahrain,Middle East & North Africa,High income,26876197898074.1,0.0002463521959880512
"Bahamas, The",Latin America & Caribbean,High income,26876197898074.1,0.00028589869851161544
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,3838002109994.71,0.0012208782019159595
Belarus,Europe & Central Asia,Upper middle income,3838002109994.71,0.00316270970784243
Belize,Latin America & Caribbean,Upper middle income,3838002109994.71,0.00025403842208970124
Bermuda,North America,High income,26876197898074.1,0.0001236943191372401
Bolivia,Latin America & Caribbean,Lower middle income,1445084169436.16,0.005733282540374554
Brazil,Latin America & Caribbean,Upper middle income,3838002109994.71,0.15623805897303858
Barbados,Latin America & Caribbean,High income,26876197898074.1,0.00010983034937436303
Brunei Darussalam,East Asia & Pacific,High income,26876197898074.1,0.00017115516180693204
Bhutan,South Asia,Lower middle income,1445084169436.16,0.00027629449560421517
Botswana,Sub-Saharan Africa,Upper middle income,3838002109994.71,0.0014289354877419697
Central African Republic,Sub-Saharan Africa,Low income,147440132452.6,0.006778870135791003
Canada,North America,High income,26876197898074.1,0.025242112093861825
Central Europe and the Baltics,,,,
Switzerland,Europe & Central Asia,High income,26876197898074.1,0.011083189710451757
Channel Islands,Europe & Central Asia,High income,26876197898074.1,0.0002330380944415061
Chile,Latin America & Caribbean,High income,26876197898074.1,0.0028127528872831033
China,East Asia & Pacific,Upper middle income,3838002109994.71,0.285044137196034
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,1445084169436.16,0.013058749694395341
Cameroon,Sub-Saharan Africa,Lower middle income,1445084169436.16,0.008003566595371903
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,147440132452.6,0.03195371130390571
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,1445084169436.16,0.0016295057470034986
Colombia,Latin America & Caribbean,Upper middle income,3838002109994.71,0.022455995649548716
Comoros,Sub-Saharan Africa,Lower middle income,1445084169436.16,0.00026465931742178416
Cabo Verde,Sub-Saharan Africa,Lower middle income,1445084169436.16,0.0004099530779104362
Costa Rica,Latin America & Caribbean,Upper middle income,3838002109994.71,0.0037141371662819766
Caribbean small states,,,,
Cuba,Latin America & Caribbean,Upper middle income,3838002109994.71,0.0073904636806046715
Curacao,Latin America & Caribbean,High income,26876197898074.1,
Cayman Islands,Latin America & Caribbean,High income,26876197898074.1,
Cyprus,Europe & Central Asia,High income,26876197898074.1,0.0003906024336408187
Czechia,Europe & Central Asia,High income,26876197898074.1,0.0024249386480246966
Germany,Europe & Central Asia,High income,26876197898074.1,0.08166891791480989
Djibouti,Middle East & North Africa,Lower middle income,1445084169436.16,0.00037096811344156284
Dominica,Latin America & Caribbean,Upper middle income,3838002109994.71,8.644061409868722e-05
Denmark,Europe & Central Asia,High income,26876197898074.1,0.006621658341515362
