Country Name,Country Code,Indicator Name_population,Indicator Code_population,1960_population,1961_population,1962_population,1963_population,1964_population,1965_population,1966_population,1967_population,1968_population,1969_population,1970_population,1971_population,1972_population,1973_population,1974_population,1975_population,1976_population,1977_population,1978_population,1979_population,1980_population,1981_population,1982_population,1983_population,1984_population,1985_population,1986_population,1987_population,1988_population,1989_population,1990_population,1991_population,1992_population,1993_population,1994_population,1995_population,1996_population,1997_population,1998_population,1999_population,2000_population,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population,2022_population,Region_population,IncomeGroup_population,SpecialNotes_population,TableName_population,Unnamed: 5_population,Indicator Name_gdp,Indicator Code_gdp,1960_gdp,1961_gdp,1962_gdp,1963_gdp,1964_gdp,1965_gdp,1966_gdp,1967_gdp,1968_gdp,1969_gdp,1970_gdp,1971_gdp,1972_gdp,1973_gdp,1974_gdp,1975_gdp,1976_gdp,1977_gdp,1978_gdp,1979_gdp,1980_gdp,1981_gdp,1982_gdp,1983_gdp,1984_gdp,1985_gdp,1986_gdp,1987_gdp,1988_gdp,1989_gdp,1990_gdp,1991_gdp,1992_gdp,1993_gdp,1994_gdp,1995_gdp,1996_gdp,1997_gdp,1998_gdp,1999_gdp,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp,2020_gdp,2021_gdp,2022_gdp,Region_gdp,IncomeGroup_gdp,SpecialNotes_gdp,TableName_gdp,Unnamed: 5_gdp,Average_GDP_Per_Capita,Estimated_GDP
Aruba,ABW,"Population, total",SP.POP.TOTL,54608.0,55811.0,56682.0,57475.0,58178.0,58782.0,59291.0,59522.0,59471.0,59330.0,59106.0,58816.0,58855.0,59365.0,60028.0,60715.0,61193.0,61465.0,61738.0,62006.0,62267.0,62614.0,63116.0,63683.0,64174.0,64478.0,64553.0,64450.0,64332.0,64596.0,65712.0,67864.0,70192.0,72360.0,74710.0,77050.0,79417.0,81858.0,84355.0,86867.0,89101.0,90691.0,91781.0,92701.0,93540.0,94483.0,95606.0,96787.0,97996.0,99212.0,100341.0,101288.0,102112.0,102880.0,103594.0,104257.0,104874.0,105439.0,105962.0,106442.0,106585.0,106537.0,,Latin America & Caribbean,High income,,Aruba,,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223.0,1245810056.0,1320670391.0,1379888268.0,1531843575.0,1665363128.0,1722905028.0,1873184358.0,1896648045.0,1962011173.0,2044134078.0,2254748603.0,2359776536.0,2469832402.0,2677653631.0,2843016760.0,2553631285.0,2453631285.0,2637988827.0,2615083799.0,2727932961.0,2791061453.0,2963128492.0,2983798883.0,3092178771.0,3202234637.0,3368970253.0,2610038938.0,3126019399.0,,Latin America & Caribbean,High income,,Aruba,,31650.760536254485,2610038938.0
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,130692579.0,134169237.0,137835590.0,141630546.0,145605995.0,149742351.0,153955516.0,158313235.0,162875171.0,167596160.0,172475766.0,177503186.0,182599092.0,187901657.0,193512956.0,199284304.0,205202669.0,211120911.0,217481420.0,224315978.0,230967858.0,237937461.0,245386717.0,252779730.0,260209149.0,267938123.0,276035920.0,284490394.0,292795186.0,301124880.0,309890664.0,318544083.0,326933522.0,335625136.0,344418362.0,353466601.0,362985802.0,372352230.0,381715600.0,391486231.0,401600588.0,412001885.0,422741118.0,433807484.0,445281555.0,457153837.0,469508516.0,482406426.0,495748900.0,509410477.0,523459657.0,537792950.0,552530654.0,567891875.0,583650827.0,600008150.0,616377331.0,632746296.0,649756874.0,667242712.0,685112705.0,702976832.0,,,,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",Africa Eastern and Southern,,GDP (current US$),NY.GDP.MKTP.CD,21291524631.0,21809435285.0,23708060554.0,28211280561.0,26119938955.0,29683481336.0,32240542859.0,33516029588.0,36523093043.0,41830180280.0,44864583230.0,49481098053.0,53517203819.0,69603856569.0,86061571541.0,91653193182.0,91128569293.0,103420000000.0,115350000000.0,134677000000.0,170662000000.0,174395000000.0,167274000000.0,174926000000.0,160141000000.0,136303000000.0,152525000000.0,186153000000.0,204149000000.0,217548000000.0,253235000000.0,273415000000.0,238266000000.0,236537000000.0,240131000000.0,269649000000.0,268426000000.0,282197000000.0,265826000000.0,262184000000.0,283938000000.0,258830000000.0,264881000000.0,352674000000.0,438853000000.0,512234000000.0,575722000000.0,660827000000.0,708119000000.0,719095000000.0,860361000000.0,964213000000.0,972002000000.0,982677000000.0,1003400000000.0,923144000000.0,889859000000.0,1030480000000.0,1016700000000.0,1009050000000.0,934179000000.0,1089450000000.0,,,,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",Africa Eastern and Southern,,1512.2682973568394,934179000000.0
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8622466.0,8790140.0,8969047.0,9157465.0,9355514.0,9565147.0,9783147.0,10010030.0,10247780.0,10494489.0,10752971.0,11015857.0,11286753.0,11575305.0,11869879.0,12157386.0,12425267.0,12687301.0,12938862.0,12986369.0,12486631.0,11155195.0,10088289.0,9951449.0,10243686.0,10512221.0,10448442.0,10322758.0,10383460.0,10673168.0,10694796.0,10745167.0,12057433.0,14003760.0,15455555.0,16418912.0,17106595.0,17788819.0,18493132.0,19262847.0,19542982.0,19688632.0,21000256.0,22645130.0,23553551.0,24411191.0,25442944.0,25903301.0,26427199.0,27385307.0,28189672.0,29249157.0,30466479.0,31541209.0,32716210.0,33753499.0,34636207.0,35643418.0,36686784.0,37769499.0,38972230.0,40099462.0,,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan,,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638.0,1399999967.0,1673333418.0,1373333367.0,1408888922.0,1748886596.0,1831108971.0,1595555476.0,1733333264.0,2155555498.0,2366666616.0,2555555567.0,2953333418.0,3300000109.0,3697940410.0,3641723322.0,3478787909.0,,,,,,,,,,,,,,,,,,,,,3854235264.0,4539500884.0,5220823685.0,6226199249.0,6971379033.0,9715761650.0,10249767311.0,12154835708.0,15633856787.0,18190410821.0,20203572960.0,20564485419.0,20550582747.0,19998156214.0,18019558182.0,18896352022.0,18418848300.0,18904490263.0,20143442151.0,14786861638.0,,South Asia,Low income,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Afghanistan,,500.52266414759697,20143442151.0
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,97256290.0,99314028.0,101445032.0,103667517.0,105959979.0,108336203.0,110798486.0,113319950.0,115921723.0,118615741.0,121424797.0,124336039.0,127364044.0,130563107.0,133953892.0,137548613.0,141258400.0,145122851.0,149206663.0,153459665.0,157825609.0,162323313.0,167023385.0,171566640.0,176054495.0,180817312.0,185720244.0,190759952.0,195969722.0,201392200.0,206739024.0,212172888.0,217966101.0,223788766.0,229675775.0,235861484.0,242200260.0,248713095.0,255482918.0,262397030.0,269611898.0,277160097.0,284952322.0,292977949.0,301265247.0,309824829.0,318601484.0,327612838.0,336893835.0,346475221.0,356337762.0,366489204.0,376797999.0,387204553.0,397855507.0,408690375.0,419778384.0,431138704.0,442646825.0,454306063.0,466189102.0,478185907.0,,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",Africa Western and Central,,GDP (current US$),NY.GDP.MKTP.CD,10404135069.0,11127894641.0,11943187848.0,12676330765.0,13838369295.0,14862225760.0,15832591204.0,14426038230.0,14880349280.0,16882092549.0,23504605476.0,20832817218.0,25264953766.0,31273819026.0,44214484997.0,51444731784.0,62129390375.0,65315008068.0,71199708192.0,88628401269.0,112031000000.0,211003000000.0,187164000000.0,138115000000.0,114263000000.0,116507000000.0,107498000000.0,110322000000.0,108943000000.0,101769000000.0,121802000000.0,117457000000.0,118282000000.0,98826369836.0,86281743753.0,108221000000.0,125763000000.0,127064000000.0,130107000000.0,137521000000.0,140410000000.0,146780000000.0,176606000000.0,204471000000.0,253472000000.0,310094000000.0,395656000000.0,464426000000.0,566479000000.0,507030000000.0,597129000000.0,680456000000.0,736040000000.0,832217000000.0,892498000000.0,766958000000.0,690545000000.0,683748000000.0,766360000000.0,794719000000.0,784800000000.0,840187000000.0,,,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",Africa Western and Central,,1749.3030904146221,784800000000.0
Angola,AGO,"Population, total",SP.POP.TOTL,5357195.0,5441333.0,5521400.0,5599827.0,5673199.0,5736582.0,5787044.0,5827503.0,5868203.0,5928386.0,6029700.0,6177049.0,6364731.0,6578230.0,6802494.0,7032713.0,7266780.0,7511895.0,7771590.0,8043218.0,8330047.0,8631457.0,8947152.0,9276707.0,9617702.0,9970621.0,10332574.0,10694057.0,11060261.0,11439498.0,11828638.0,12228691.0,12632507.0,13038270.0,13462031.0,13912253.0,14383350.0,14871146.0,15366864.0,15870753.0,16394062.0,16941587.0,17516139.0,18124342.0,18771125.0,19450959.0,20162340.0,20909684.0,21691522.0,22507674.0,23364185.0,24259111.0,25188292.0,26147002.0,27128337.0,28127721.0,29154746.0,30208628.0,31273533.0,32353588.0,33428486.0,34503774.0,,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Angola,,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503401.0,5550483036.0,5550483036.0,5784341596.0,6131475065.0,7553560459.0,7072063346.0,8083872012.0,8769250550.0,10201099039.0,11228764963.0,10603784541.0,8307810974.0,5768720422.0,4438321017.0,5538749260.0,7526446606.0,7648377413.0,6506229607.0,6152922943.0,9129594819.0,8936063723.0,15285594828.0,17812704825.0,23552047248.0,36970918699.0,52381006892.0,65266452081.0,88538610805.0,70307166934.0,81699526881.0,109437000000.0,124998000000.0,133402000000.0,137244000000.0,87219300385.0,49840491178.0,68972769396.0,77792944472.0,69309110146.0,53619073505.0,67404287260.0,,Sub-Saharan Africa,Lower middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Angola,,2142.2387571356844,53619073505.0
Albania,ALB,"Population, total",SP.POP.TOTL,1608800.0,1659800.0,1711319.0,1762621.0,1814135.0,1864791.0,1914573.0,1965598.0,2022272.0,2081695.0,2135479.0,2187853.0,2243126.0,2296752.0,2350124.0,2404831.0,2458526.0,2513546.0,2566266.0,2617832.0,2671997.0,2726056.0,2784278.0,2843960.0,2904429.0,2964762.0,3022635.0,3083605.0,3142336.0,3227943.0,3286542.0,3266790.0,3247039.0,3227287.0,3207536.0,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,2837849.0,2811666.0,,Europe & Central Asia,Upper middle income,,Albania,,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857338012.0,1897050133.0,2097326250.0,2080796250.0,2051236250.0,2253090000.0,2028553750.0,1099559028.0,652174990.8,1185315468.0,1880951520.0,2392764853.0,3199641336.0,2258513974.0,2545964541.0,3212121651.0,3480355258.0,3922100794.0,4348068242.0,5611496257.0,7184685782.0,8052073539.0,8896072919.0,10677324144.0,12881353508.0,12044208086.0,11926922829.0,12890764531.0,12319830437.0,12776220507.0,13228147516.0,11386850130.0,11861199831.0,13019689337.0,15156432310.0,15401830754.0,15131866271.0,18255787479.0,,Europe & Central Asia,Upper middle income,,Albania,,5396.215864320223,15131866271.0
Andorra,AND,"Population, total",SP.POP.TOTL,9443.0,10216.0,11014.0,11839.0,12690.0,13563.0,14546.0,15745.0,17079.0,18449.0,19860.0,21322.0,22832.0,24393.0,26003.0,27640.0,29294.0,30949.0,32574.0,34142.0,35611.0,36987.0,38598.0,40432.0,42181.0,43809.0,45605.0,47635.0,49654.0,51639.0,53569.0,55434.0,57283.0,59156.0,61037.0,62928.0,64147.0,64682.0,65186.0,65655.0,66097.0,67820.0,70849.0,73907.0,76933.0,79826.0,80221.0,78168.0,76055.0,73852.0,71519.0,70567.0,71013.0,71367.0,71621.0,71746.0,72540.0,73837.0,75013.0,76343.0,77700.0,79034.0,,Europe & Central Asia,High income,,Andorra,,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594.0,611316399.4,721425939.2,795449332.4,1029048482.0,1106928583.0,1210013652.0,1007025755.0,1017549124.0,1178738991.0,1223945357.0,1180597273.0,1211932398.0,1239876305.0,1429049198.0,1546926174.0,1755910032.0,2361726862.0,2894921778.0,3159905484.0,3456442103.0,3952600602.0,4085630584.0,3674409558.0,3449966857.0,3629203786.0,3188808943.0,3193704343.0,3271808157.0,2789870188.0,2896679212.0,3000180750.0,3218316013.0,3155065488.0,2891022273.0,3330281524.0,,Europe & Central Asia,High income,,Andorra,,41327.50203685996,2891022273.0
Arab World,ARB,"Population, total",SP.POP.TOTL,93359407.0,95760348.0,98268683.0,100892507.0,103618568.0,106444103.0,109394536.0,112499764.0,115729597.0,119061868.0,122475578.0,125979765.0,129605560.0,133384981.0,137372356.0,141756318.0,146815543.0,151960544.0,156741680.0,162014425.0,167707208.0,173118753.0,178587926.0,184342569.0,190162096.0,195956917.0,201916517.0,207894127.0,213455083.0,219021375.0,225923327.0,230837072.0,236598334.0,242994250.0,249596194.0,255803349.0,261953764.0,268158920.0,274376380.0,280650496.0,287065982.0,293512340.0,300018650.0,306573087.0,313249616.0,320558754.0,328703057.0,337498222.0,346630443.0,355754908.0,364427661.0,372351065.0,380383408.0,389131555.0,397922915.0,406501999.0,415077960.0,423664839.0,432545676.0,441467739.0,449228296.0,456520777.0,,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,Arab World,,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,35019727480.0,38162991696.0,43149825508.0,49841484048.0,59381286567.0,75329791104.0,142816000000.0,157909000000.0,196559000000.0,226978000000.0,249110000000.0,338625000000.0,459810000000.0,474023000000.0,444130000000.0,418462000000.0,425898000000.0,419499000000.0,406984000000.0,440606000000.0,424900000000.0,455823000000.0,644066000000.0,471524000000.0,473813000000.0,482767000000.0,507767000000.0,556058000000.0,614193000000.0,662317000000.0,644494000000.0,712837000000.0,816019000000.0,798505000000.0,803123000000.0,887852000000.0,1056250000000.0,1297890000000.0,1538290000000.0,1790040000000.0,2253730000000.0,1978800000000.0,2327000000000.0,2541860000000.0,2787170000000.0,2843530000000.0,2895460000000.0,2538930000000.0,2516490000000.0,2598090000000.0,2800430000000.0,2818360000000.0,2491180000000.0,2862990000000.0,,,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,Arab World,,6384.067851444973,2491180000000.0
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,133426.0,140984.0,148877.0,157006.0,165305.0,173797.0,182509.0,191404.0,213582.0,253261.0,298084.0,344513.0,392368.0,441546.0,491955.0,543394.0,614177.0,706861.0,805231.0,908452.0,1014048.0,1100180.0,1167856.0,1237572.0,1308331.0,1379536.0,1468697.0,1575909.0,1683681.0,1791840.0,1900151.0,2008383.0,2116231.0,2223284.0,2329024.0,2433988.0,2572735.0,2746119.0,2921130.0,3097563.0,3275333.0,3454198.0,3633655.0,3813443.0,3993339.0,4280993.0,4898954.0,5872624.0,6988685.0,7992644.0,8481771.0,8575205.0,8664969.0,8751847.0,8835951.0,8916899.0,8994263.0,9068296.0,9140169.0,9211657.0,9287289.0,9365145.0,,Middle East & North Africa,High income,,United Arab Emirates,,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672507.0,19213022691.0,24871775165.0,23775831783.0,31225463218.0,43598748449.0,49333424135.0,46622718605.0,42803323345.0,41807954236.0,40603650232.0,33943612095.0,36384908744.0,36275674203.0,41464995914.0,50701443748.0,51552165622.0,54239171888.0,55625170253.0,59305093980.0,65743666576.0,73571233996.0,78839008445.0,75674336283.0,84445473111.0,104337000000.0,103312000000.0,109816000000.0,124346000000.0,147824000000.0,180617000000.0,222117000000.0,257916000000.0,315475000000.0,253547000000.0,289787000000.0,350666000000.0,384610000000.0,400219000000.0,414105000000.0,370275000000.0,369255000000.0,390517000000.0,427049000000.0,417990000000.0,349473000000.0,415022000000.0,,Middle East & North Africa,High income,,United Arab Emirates,,45376.201046131006,349473000000.0
Argentina,ARG,"Population, total",SP.POP.TOTL,20349744.0,20680653.0,21020359.0,21364017.0,21708487.0,22053661.0,22403116.0,22757014.0,23112971.0,23472028.0,23842803.0,24223379.0,24612794.0,25020588.0,25449754.0,25875558.0,26290257.0,26713780.0,27146121.0,27584134.0,28024803.0,28471285.0,28922762.0,29377137.0,29832197.0,30287112.0,30748326.0,31216453.0,31690792.0,32165766.0,32637657.0,33105763.0,33568285.0,34027240.0,34488696.0,34946110.0,35389362.0,35815971.0,36233195.0,36653031.0,37070774.0,37480493.0,37885028.0,38278164.0,38668796.0,39070501.0,39476851.0,39876111.0,40273769.0,40684338.0,40788453.0,41261490.0,41733271.0,42202935.0,42669500.0,43131966.0,43590368.0,44044811.0,44494502.0,44938712.0,45376763.0,45808747.0,,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Argentina,,GDP (current US$),NY.GDP.MKTP.CD,,,24450604878.0,18272123664.0,25605249382.0,28344705967.0,28630474728.0,24256667553.0,26436857247.0,31256284544.0,31584210366.0,33293199095.0,34733000536.0,52544000117.0,72436777342.0,52438647922.0,51169499892.0,56781000101.0,58082870156.0,69252328952.0,76961923741.0,78676842367.0,84307486837.0,103979000000.0,79092001998.0,88416668900.0,110934000000.0,111106000000.0,126207000000.0,76636898036.0,141352000000.0,189720000000.0,228789000000.0,236742000000.0,257440000000.0,258032000000.0,272150000000.0,292859000000.0,298948000000.0,283523000000.0,284204000000.0,268697000000.0,97724004252.0,127587000000.0,164658000000.0,198737000000.0,232557000000.0,287531000000.0,361558000000.0,332976000000.0,423627000000.0,530163000000.0,545982000000.0,552025000000.0,526320000000.0,594749000000.0,557531000000.0,643629000000.0,524820000000.0,447755000000.0,385540000000.0,487227000000.0,,Latin America & Caribbean,Upper middle income,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Argentina,,9963.681202078065,385540000000.0
